algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
astar, gap, Pancake28, 21 14 1 10 22 18 2 25 8 27 15 6 5 12 0 24 17 4 20 19 11 23 13 7 3 16 26 9 , 27, 26, 74101, 0.110000, 673645.454545
astar, gap, Pancake28, 27 5 9 1 24 16 15 21 22 11 25 2 13 10 18 12 20 17 6 26 19 4 0 8 23 3 7 14 , 26, 26, 9309, 0.010000, 930900.000000
astar, gap, Pancake28, 25 3 14 12 1 16 20 21 24 15 2 23 6 11 22 17 10 13 8 0 19 7 18 5 27 9 4 26 , 27, 27, 1015, 0.000000, inf
astar, gap, Pancake28, 24 10 11 26 8 27 0 6 15 25 5 1 14 7 17 13 21 2 23 4 3 12 9 16 22 19 20 18 , 26, 25, 65934, 0.090000, 732600.000000
astar, gap, Pancake28, 1 12 25 22 14 4 3 24 27 11 2 5 21 6 9 26 7 19 17 18 13 8 0 15 16 20 10 23 , 26, 25, 123525, 0.180000, 686250.000000
astar, gap, Pancake28, 19 14 4 6 23 15 2 1 0 8 7 22 17 5 12 10 25 18 21 26 9 3 11 13 27 20 24 16 , 26, 25, 23296, 0.020000, 1164800.000000
astar, gap, Pancake28, 21 1 16 17 15 14 20 27 25 4 8 22 24 9 10 11 6 23 5 13 0 19 18 12 2 7 3 26 , 24, 23, 173807, 0.230000, 755682.608696
astar, gap, Pancake28, 7 18 27 20 11 8 9 15 3 26 16 5 14 21 4 23 2 1 22 25 0 13 10 6 17 19 12 24 , 27, 26, 78469, 0.110000, 713354.545455
astar, gap, Pancake28, 5 19 11 16 0 18 8 25 27 21 2 24 20 7 9 10 1 22 6 15 26 23 4 14 13 17 12 3 , 26, 26, 20307, 0.020000, 1015350.000000
astar, gap, Pancake28, 27 0 24 8 18 4 9 2 14 21 1 11 22 20 10 19 25 7 12 23 6 5 26 16 13 15 17 3 , 28, 27, 432802, 0.710000, 609580.281690
astar, gap, Pancake28, 26 24 17 7 21 4 20 14 13 10 3 27 9 16 18 1 23 19 2 15 8 12 0 5 22 6 25 11 , 27, 27, 26079, 0.030000, 869300.000000
astar, gap, Pancake28, 15 3 2 19 11 14 13 22 26 20 17 1 0 6 16 12 7 24 9 4 21 8 27 18 5 23 10 25 , 26, 25, 202437, 0.340000, 595402.941176
astar, gap, Pancake28, 4 18 2 24 21 14 17 13 7 15 26 22 19 6 27 1 11 25 20 0 10 8 3 12 5 9 23 16 , 29, 28, 335426, 0.460000, 729186.956522
astar, gap, Pancake28, 15 5 7 24 4 3 18 1 13 17 10 26 16 22 19 25 14 6 27 2 8 11 0 20 23 9 12 21 , 28, 27, 67470, 0.100000, 674700.000000
