algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
dfid, manhatan, 2.000000, 15Puzzle, 13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7 , 71, 78, 48666, 0.100000, 486660.000000
dfid, manhatan, 2.000000, 15Puzzle, 14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B , 72, 80, 342204, 0.710000, 481977.464789
dfid, manhatan, 2.000000, 15Puzzle, 12 3 9 1 4 5 10 2 6 11 15 B 14 7 13 8 , 57, 62, 1053106, 2.390000, 440630.125523
dfid, manhatan, 2.000000, 15Puzzle, 15 8 10 7 B 12 14 1 5 9 6 3 13 11 4 2 , 65, 74, 13510, 0.040000, 337750.000000
dfid, manhatan, 2.000000, 15Puzzle, 4 7 13 10 1 2 9 6 12 8 14 5 3 B 11 15 , 58, 64, 43252, 0.110000, 393200.000000
dfid, manhatan, 2.000000, 15Puzzle, 6 B 5 10 11 12 9 2 1 7 4 3 14 8 13 15 , 61, 70, 28718, 0.070000, 410257.142857
dfid, manhatan, 2.000000, 15Puzzle, 9 5 11 10 13 B 2 1 8 6 14 12 4 7 3 15 , 64, 68, 35105, 0.090000, 390055.555556
dfid, manhatan, 2.000000, 15Puzzle, 15 2 12 11 14 13 9 5 1 3 8 7 B 10 6 4 , 83, 86, 191160, 0.470000, 406723.404255
dfid, manhatan, 2.000000, 15Puzzle, 11 1 7 4 10 13 3 8 9 14 B 15 6 5 2 12 , 70, 76, 166749, 0.370000, 450672.972973
dfid, manhatan, 2.000000, 15Puzzle, 5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3 , 62, 72, 93509, 0.200000, 467545.000000
dfid, manhatan, 2.000000, 15Puzzle, 9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4 , 79, 82, 28455, 0.060000, 474250.000000
dfid, manhatan, 2.000000, 15Puzzle, 3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1 , 69, 74, 11472, 0.030000, 382400.000000
dfid, manhatan, 2.000000, 15Puzzle, 13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15 , 60, 68, 100912, 0.210000, 480533.333333
dfid, manhatan, 2.000000, 15Puzzle, 5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2 , 83, 90, 23048, 0.040000, 576200.000000
dfid, manhatan, 2.000000, 15Puzzle, 4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14 , 64, 68, 6805, 0.010000, 680500.000000
dfid, manhatan, 2.000000, 15Puzzle, 1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10 , 61, 70, 317084, 0.670000, 473259.701493
dfid, manhatan, 2.000000, 15Puzzle, 9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3 , 60, 64, 11920, 0.020000, 596000.000000
dfid, manhatan, 2.000000, 15Puzzle, B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6 , 62, 68, 89067, 0.190000, 468773.684211
dfid, manhatan, 2.000000, 15Puzzle, 7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8 , 71, 78, 216773, 0.450000, 481717.777778
dfid, manhatan, 2.000000, 15Puzzle, 11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15 , 72, 76, 17052, 0.040000, 426300.000000
