algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
dfid, manhatan, 1.500000, 15Puzzle, 1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B , 46, 36, 2570973, 2.590000, 992653.667954
dfid, manhatan, 1.500000, 15Puzzle, 15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12 , 72, 69, 1670519, 1.690000, 988472.781065
dfid, manhatan, 1.500000, 15Puzzle, 6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13 , 61, 64, 1414794, 1.420000, 996333.802817
dfid, manhatan, 1.500000, 15Puzzle, 7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10 , 50, 54, 181104, 0.180000, 1006133.333333
dfid, manhatan, 1.500000, 15Puzzle, 6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B , 56, 54, 85691, 0.090000, 952122.222222
dfid, manhatan, 1.500000, 15Puzzle, 12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2 , 58, 51, 1451548, 1.470000, 987447.619048
dfid, manhatan, 1.500000, 15Puzzle, 14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6 , 61, 61, 902754, 0.910000, 992037.362637
dfid, manhatan, 1.500000, 15Puzzle, 10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12 , 53, 49, 1564928, 1.570000, 996769.426752
dfid, manhatan, 1.500000, 15Puzzle, 7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B , 54, 51, 354563, 0.350000, 1013037.142857
dfid, manhatan, 1.500000, 15Puzzle, 11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12 , 52, 48, 213681, 0.220000, 971277.272727
dfid, manhatan, 1.500000, 15Puzzle, 5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11 , 62, 60, 2119194, 2.110000, 1004357.345972
dfid, manhatan, 1.500000, 15Puzzle, 14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11 , 57, 49, 9576242, 14.450000, 662715.709343
dfid, manhatan, 1.500000, 15Puzzle, 13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7 , 58, 54, 260391, 0.520000, 500751.923077
dfid, manhatan, 1.500000, 15Puzzle, 9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12 , 58, 57, 1810642, 2.610000, 693732.567050
dfid, manhatan, 1.500000, 15Puzzle, 12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11 , 51, 52, 61300, 0.060000, 1021666.666667
dfid, manhatan, 1.500000, 15Puzzle, 12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10 , 52, 57, 3867, 0.000000, inf
dfid, manhatan, 1.500000, 15Puzzle, 14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15 , 61, 64, 326045, 0.330000, 988015.151515
dfid, manhatan, 1.500000, 15Puzzle, 14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8 , 62, 63, 3624433, 3.630000, 998466.391185
dfid, manhatan, 1.500000, 15Puzzle, 6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15 , 52, 54, 189774, 0.180000, 1054300.000000
dfid, manhatan, 1.500000, 15Puzzle, 1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10 , 61, 58, 1091739, 1.100000, 992490.000000
dfid, manhatan, 1.500000, 15Puzzle, 12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10 , 54, 54, 312195, 0.560000, 557491.071429
dfid, manhatan, 1.500000, 15Puzzle, 8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4 , 62, 60, 3563411, 7.210000, 494231.761442
dfid, manhatan, 1.500000, 15Puzzle, 9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2 , 49, 52, 163736, 0.330000, 496169.696970
dfid, manhatan, 1.500000, 15Puzzle, 11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8 , 56, 54, 1201571, 2.420000, 496516.942149
dfid, manhatan, 1.500000, 15Puzzle, 8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7 , 54, 54, 605462, 1.120000, 540591.071429
dfid, manhatan, 1.500000, 15Puzzle, 4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10 , 48, 45, 143061, 0.140000, 1021864.285714
dfid, manhatan, 1.500000, 15Puzzle, 11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B , 70, 72, 96748, 0.100000, 967480.000000
dfid, manhatan, 1.500000, 15Puzzle, 12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13 , 50, 48, 1667559, 1.670000, 998538.323353
dfid, manhatan, 1.500000, 15Puzzle, 3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13 , 57, 58, 158109, 0.150000, 1054060.000000
dfid, manhatan, 1.500000, 15Puzzle, 8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11 , 51, 52, 681006, 0.690000, 986965.217391
dfid, manhatan, 1.500000, 15Puzzle, 6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12 , 47, 52, 58637, 0.060000, 977283.333333
dfid, manhatan, 1.500000, 15Puzzle, 8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14 , 55, 58, 576019, 0.580000, 993136.206897
dfid, manhatan, 1.500000, 15Puzzle, 10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8 , 59, 49, 2864458, 3.210000, 892354.517134
dfid, manhatan, 1.500000, 15Puzzle, 12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1 , 57, 58, 565725, 1.140000, 496250.000000
dfid, manhatan, 1.500000, 15Puzzle, 10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12 , 60, 66, 453707, 0.430000, 1055132.558140
dfid, manhatan, 1.500000, 15Puzzle, 10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5 , 58, 57, 3063738, 2.970000, 1031561.616162
dfid, manhatan, 1.500000, 15Puzzle, 14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6 , 70, 75, 473331, 0.460000, 1028980.434783
dfid, manhatan, 1.500000, 15Puzzle, 12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1 , 58, 60, 840630, 0.810000, 1037814.814815
dfid, manhatan, 1.500000, 15Puzzle, 13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11 , 43, 43, 129918, 0.120000, 1082650.000000
